encounter_file,rate_walk,land_lvl0,land_species0,land_lvl1,land_species1,land_lvl2,land_species2,land_lvl3,land_species3,land_lvl4,land_species4,land_lvl5,land_species5,land_lvl6,land_species6,land_lvl7,land_species7,land_lvl8,land_species8,land_lvl9,land_species9,land_lvl10,land_species10,land_lvl11,land_species11,swarm_species0,swarm_species1,land_species_morn0,land_species_morn1,land_species_nite0,land_species_nite1,radar_species0,radar_species1,radar_species2,radar_species3,rate_form0,rate_form1,rate_form2,rate_form3,rate_form4,unown_tbl,ruby0,ruby1,sapphire0,sapphire1,emerald0,emerald1,firered0,firered1,leafgreen0,leafgreen1,rate_surf,lvl_max_surf0,lvl_min_surf0,species_surf0,lvl_max_surf1,lvl_min_surf1,species_surf1,lvl_max_surf2,lvl_min_surf2,species_surf2,lvl_max_surf3,lvl_min_surf3,species_surf3,lvl_max_surf4,lvl_min_surf4,species_surf4,rate_oldrod,lvl_max_oldrod0,lvl_min_oldrod0,species_oldrod0,lvl_max_oldrod1,lvl_min_oldrod1,species_oldrod1,lvl_max_oldrod2,lvl_min_oldrod2,species_oldrod2,lvl_max_oldrod3,lvl_min_oldrod3,species_oldrod3,lvl_max_oldrod4,lvl_min_oldrod4,species_oldrod4,rate_goodrod,lvl_max_goodrod0,lvl_min_goodrod0,species_goodrod0,lvl_max_goodrod1,lvl_min_goodrod1,species_goodrod1,lvl_max_goodrod2,lvl_min_goodrod2,species_goodrod2,lvl_max_goodrod3,lvl_min_goodrod3,species_goodrod3,lvl_max_goodrod4,lvl_min_goodrod4,species_goodrod4,rate_superrod,lvl_max_superrod0,lvl_min_superrod0,species_superrod0,lvl_max_superrod1,lvl_min_superrod1,species_superrod1,lvl_max_superrod2,lvl_min_superrod2,species_superrod2,lvl_max_superrod3,lvl_min_superrod3,species_superrod3,lvl_max_superrod4,lvl_min_superrod4,species_superrod4
10,10,18,SPECIES_BRONZOR,19,SPECIES_GEODUDE,18,SPECIES_MEDITITE,17,SPECIES_CLEFAIRY,20,SPECIES_MACHOP,20,SPECIES_MEDITITE,17,SPECIES_CHINGLING,18,SPECIES_NOSEPASS,19,SPECIES_ZUBAT,19,SPECIES_CHINGLING,19,SPECIES_ZUBAT,19,SPECIES_CHINGLING,SPECIES_BRONZOR,SPECIES_GEODUDE,SPECIES_MEDITITE,SPECIES_GEODUDE,SPECIES_ZUBAT,SPECIES_CLEFAIRY,SPECIES_MACHOP,SPECIES_MEDITITE,SPECIES_ZUBAT,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,10,30,20,SPECIES_ZUBAT,30,20,SPECIES_ZUBAT,40,20,SPECIES_GOLBAT,40,20,SPECIES_GOLBAT,40,20,SPECIES_GOLBAT,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_BARBOACH,25,10,SPECIES_MAGIKARP,25,10,SPECIES_BARBOACH,25,10,SPECIES_BARBOACH,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_WHISCASH,55,20,SPECIES_GYARADOS,55,40,SPECIES_WHISCASH,55,40,SPECIES_WHISCASH
11,10,37,SPECIES_BRONZONG,38,SPECIES_GRAVELER,37,SPECIES_MEDICHAM,36,SPECIES_CLEFAIRY,39,SPECIES_MACHOKE,39,SPECIES_MEDICHAM,36,SPECIES_CHINGLING,37,SPECIES_NOSEPASS,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,SPECIES_BRONZONG,SPECIES_GRAVELER,SPECIES_MEDICHAM,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDICHAM,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
12,10,37,SPECIES_BRONZONG,38,SPECIES_GRAVELER,37,SPECIES_MEDICHAM,36,SPECIES_CLEFAIRY,39,SPECIES_MACHOKE,39,SPECIES_MEDICHAM,36,SPECIES_CHINGLING,37,SPECIES_NOSEPASS,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,38,SPECIES_MEDICHAM,38,SPECIES_CHINGLING,SPECIES_BRONZONG,SPECIES_GRAVELER,SPECIES_MEDICHAM,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDICHAM,SPECIES_MEDICHAM,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
13,10,36,SPECIES_SNOVER,38,SPECIES_ABOMASNOW,38,SPECIES_MEDICHAM,39,SPECIES_ABOMASNOW,40,SPECIES_MACHOKE,40,SPECIES_MEDICHAM,37,SPECIES_CHINGLING,38,SPECIES_NOSEPASS,38,SPECIES_ABSOL,39,SPECIES_CHINGLING,40,SPECIES_ABSOL,39,SPECIES_CHINGLING,SPECIES_SNOVER,SPECIES_ABOMASNOW,SPECIES_MEDICHAM,SPECIES_ABOMASNOW,SPECIES_GOLBAT,SPECIES_NOCTOWL,SPECIES_LOUDRED,SPECIES_LOUDRED,SPECIES_LOUDRED,SPECIES_LOUDRED,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_ABSOL,SPECIES_CHINGLING,SPECIES_ABSOL,SPECIES_CHINGLING,SPECIES_ABSOL,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
14,10,36,SPECIES_SNOVER,38,SPECIES_ABOMASNOW,38,SPECIES_MEDICHAM,39,SPECIES_ABOMASNOW,40,SPECIES_MACHOKE,40,SPECIES_MEDICHAM,37,SPECIES_CHINGLING,38,SPECIES_NOSEPASS,38,SPECIES_ABSOL,39,SPECIES_CHINGLING,40,SPECIES_ABSOL,39,SPECIES_CHINGLING,SPECIES_SNOVER,SPECIES_ABOMASNOW,SPECIES_MEDICHAM,SPECIES_ABOMASNOW,SPECIES_GOLBAT,SPECIES_NOCTOWL,SPECIES_LOUDRED,SPECIES_LOUDRED,SPECIES_LOUDRED,SPECIES_LOUDRED,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_ABSOL,SPECIES_CHINGLING,SPECIES_ABSOL,SPECIES_CHINGLING,SPECIES_ABSOL,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
15,10,37,SPECIES_BRONZONG,38,SPECIES_GRAVELER,37,SPECIES_MEDICHAM,36,SPECIES_CLEFAIRY,39,SPECIES_MACHOKE,39,SPECIES_MEDICHAM,36,SPECIES_CHINGLING,37,SPECIES_NOSEPASS,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,SPECIES_BRONZONG,SPECIES_GRAVELER,SPECIES_MEDICHAM,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDICHAM,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,10,30,20,SPECIES_ZUBAT,30,20,SPECIES_ZUBAT,40,20,SPECIES_GOLBAT,40,20,SPECIES_GOLBAT,40,20,SPECIES_GOLBAT,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_BARBOACH,25,10,SPECIES_MAGIKARP,25,10,SPECIES_BARBOACH,25,10,SPECIES_BARBOACH,75,55,30,SPECIES_GYARADOS,25,15,SPECIES_DRATINI,50,20,SPECIES_WHISCASH,40,20,SPECIES_DRAGONAIR,55,35,SPECIES_DRAGONAIR
16,15,37,SPECIES_BRONZONG,38,SPECIES_GRAVELER,37,SPECIES_MEDICHAM,36,SPECIES_CLEFAIRY,39,SPECIES_MACHOKE,39,SPECIES_MEDICHAM,36,SPECIES_CHINGLING,37,SPECIES_NOSEPASS,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,38,SPECIES_GOLBAT,39,SPECIES_CHIMECHO,SPECIES_BRONZONG,SPECIES_GRAVELER,SPECIES_MEDICHAM,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDICHAM,SPECIES_GOLBAT,SPECIES_CHIMECHO,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
17,15,37,SPECIES_BRONZONG,38,SPECIES_GRAVELER,37,SPECIES_MEDICHAM,36,SPECIES_CLEFAIRY,39,SPECIES_MACHOKE,39,SPECIES_MEDICHAM,36,SPECIES_CHINGLING,37,SPECIES_NOSEPASS,38,SPECIES_GOLBAT,39,SPECIES_CHIMECHO,38,SPECIES_GOLBAT,40,SPECIES_CHIMECHO,SPECIES_BRONZONG,SPECIES_GRAVELER,SPECIES_MEDICHAM,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDICHAM,SPECIES_GOLBAT,SPECIES_CHIMECHO,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_GOLBAT,SPECIES_CHIMECHO,SPECIES_GOLBAT,SPECIES_CHIMECHO,SPECIES_GOLBAT,SPECIES_CHIMECHO,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
18,15,37,SPECIES_BRONZONG,38,SPECIES_GRAVELER,37,SPECIES_MEDICHAM,36,SPECIES_CLEFAIRY,39,SPECIES_MACHOKE,39,SPECIES_MEDICHAM,39,SPECIES_CHIMECHO,37,SPECIES_NOSEPASS,38,SPECIES_GOLBAT,40,SPECIES_CHIMECHO,38,SPECIES_GOLBAT,41,SPECIES_CHIMECHO,SPECIES_BRONZONG,SPECIES_GRAVELER,SPECIES_MEDICHAM,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDICHAM,SPECIES_GOLBAT,SPECIES_CHIMECHO,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_GOLBAT,SPECIES_CHIMECHO,SPECIES_GOLBAT,SPECIES_CHIMECHO,SPECIES_GOLBAT,SPECIES_CHIMECHO,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
19,10,37,SPECIES_GRAVELER,38,SPECIES_GRAVELER,37,SPECIES_MEDICHAM,36,SPECIES_CLEFAIRY,39,SPECIES_MACHOKE,39,SPECIES_MEDICHAM,36,SPECIES_CHINGLING,37,SPECIES_NOSEPASS,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,38,SPECIES_GOLBAT,38,SPECIES_CHINGLING,SPECIES_GRAVELER,SPECIES_GRAVELER,SPECIES_MEDICHAM,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDICHAM,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_SOLROCK,SPECIES_SOLROCK,SPECIES_LUNATONE,SPECIES_LUNATONE,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
20,10,33,SPECIES_BRONZOR,34,SPECIES_GRAVELER,33,SPECIES_MEDITITE,32,SPECIES_CLEFAIRY,35,SPECIES_MACHOKE,35,SPECIES_MEDITITE,32,SPECIES_CHINGLING,33,SPECIES_NOSEPASS,34,SPECIES_GOLBAT,34,SPECIES_CHINGLING,34,SPECIES_GOLBAT,34,SPECIES_CHINGLING,SPECIES_BRONZOR,SPECIES_GRAVELER,SPECIES_MEDITITE,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDITITE,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
21,10,14,SPECIES_BRONZOR,15,SPECIES_GEODUDE,14,SPECIES_MEDITITE,13,SPECIES_CLEFFA,16,SPECIES_MACHOP,16,SPECIES_MEDITITE,13,SPECIES_CHINGLING,14,SPECIES_NOSEPASS,15,SPECIES_ZUBAT,15,SPECIES_CHINGLING,15,SPECIES_ZUBAT,15,SPECIES_CHINGLING,SPECIES_BRONZOR,SPECIES_GEODUDE,SPECIES_MEDITITE,SPECIES_GEODUDE,SPECIES_ZUBAT,SPECIES_CLEFFA,SPECIES_MACHOP,SPECIES_MEDITITE,SPECIES_ZUBAT,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,SPECIES_ZUBAT,SPECIES_CHINGLING,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
22,10,33,SPECIES_BRONZOR,34,SPECIES_GRAVELER,33,SPECIES_MEDITITE,32,SPECIES_CLEFAIRY,35,SPECIES_MACHOKE,35,SPECIES_MEDITITE,32,SPECIES_CHINGLING,33,SPECIES_NOSEPASS,34,SPECIES_GOLBAT,34,SPECIES_CHINGLING,34,SPECIES_GOLBAT,34,SPECIES_CHINGLING,SPECIES_BRONZOR,SPECIES_GRAVELER,SPECIES_MEDITITE,SPECIES_GRAVELER,SPECIES_GOLBAT,SPECIES_CLEFAIRY,SPECIES_MACHOKE,SPECIES_MEDITITE,SPECIES_GOLBAT,SPECIES_CHINGLING,0,0,0,0,0,0,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,SPECIES_GOLBAT,SPECIES_CHINGLING,10,30,20,SPECIES_ZUBAT,30,20,SPECIES_ZUBAT,40,20,SPECIES_GOLBAT,40,20,SPECIES_GOLBAT,40,20,SPECIES_GOLBAT,25,6,3,SPECIES_MAGIKARP,7,4,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_BARBOACH,25,10,SPECIES_MAGIKARP,25,10,SPECIES_BARBOACH,25,10,SPECIES_BARBOACH,75,40,30,SPECIES_GYARADOS,40,30,SPECIES_WHISCASH,55,40,SPECIES_GYARADOS,55,40,SPECIES_WHISCASH,55,40,SPECIES_WHISCASH
23,35,28,SPECIES_WOOPER,28,SPECIES_BIBAREL,28,SPECIES_TROPIUS,30,SPECIES_TROPIUS,29,SPECIES_WOOPER,30,SPECIES_QUAGSIRE,28,SPECIES_WOOPER,30,SPECIES_WOOPER,30,SPECIES_YANMA,30,SPECIES_TANGELA,31,SPECIES_YANMA,31,SPECIES_TANGELA,SPECIES_WOOPER,SPECIES_BIBAREL,SPECIES_TROPIUS,SPECIES_TROPIUS,SPECIES_NOCTOWL,SPECIES_NOCTOWL,SPECIES_WOOPER,SPECIES_QUAGSIRE,SPECIES_YANMA,SPECIES_TANGELA,100,100,0,0,0,0,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_ARBOK,SPECIES_ARBOK,SPECIES_YANMA,SPECIES_TANGELA,10,30,20,SPECIES_WOOPER,30,20,SPECIES_WOOPER,40,20,SPECIES_QUAGSIRE,40,20,SPECIES_QUAGSIRE,40,20,SPECIES_QUAGSIRE,25,6,3,SPECIES_MAGIKARP,7,4,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_BARBOACH,25,10,SPECIES_MAGIKARP,25,10,SPECIES_BARBOACH,25,10,SPECIES_BARBOACH,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_CARVANHA,50,20,SPECIES_WHISCASH,55,40,SPECIES_CARVANHA,55,40,SPECIES_CARVANHA
24,35,28,SPECIES_WOOPER,28,SPECIES_BIBAREL,28,SPECIES_TROPIUS,30,SPECIES_TROPIUS,29,SPECIES_WOOPER,30,SPECIES_QUAGSIRE,28,SPECIES_WOOPER,30,SPECIES_WOOPER,30,SPECIES_YANMA,30,SPECIES_TANGELA,31,SPECIES_YANMA,31,SPECIES_TANGELA,SPECIES_WOOPER,SPECIES_BIBAREL,SPECIES_TROPIUS,SPECIES_TROPIUS,SPECIES_NOCTOWL,SPECIES_NOCTOWL,SPECIES_WOOPER,SPECIES_QUAGSIRE,SPECIES_YANMA,SPECIES_TANGELA,100,100,0,0,0,0,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_ARBOK,SPECIES_ARBOK,SPECIES_YANMA,SPECIES_TANGELA,10,30,20,SPECIES_WOOPER,30,20,SPECIES_WOOPER,40,20,SPECIES_QUAGSIRE,40,20,SPECIES_QUAGSIRE,40,20,SPECIES_QUAGSIRE,25,6,3,SPECIES_MAGIKARP,7,4,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_BARBOACH,25,10,SPECIES_MAGIKARP,25,10,SPECIES_BARBOACH,25,10,SPECIES_BARBOACH,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_CARVANHA,50,20,SPECIES_WHISCASH,55,40,SPECIES_CARVANHA,55,40,SPECIES_CARVANHA
25,35,27,SPECIES_WOOPER,27,SPECIES_BIBAREL,28,SPECIES_BIBAREL,27,SPECIES_TANGELA,28,SPECIES_TANGELA,29,SPECIES_QUAGSIRE,28,SPECIES_WOOPER,29,SPECIES_WOOPER,29,SPECIES_YANMA,29,SPECIES_TANGELA,30,SPECIES_YANMA,30,SPECIES_TANGELA,SPECIES_WOOPER,SPECIES_BIBAREL,SPECIES_BIBAREL,SPECIES_TANGELA,SPECIES_NOCTOWL,SPECIES_HOOTHOOT,SPECIES_TANGELA,SPECIES_QUAGSIRE,SPECIES_YANMA,SPECIES_TANGELA,100,100,0,0,0,0,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_YANMA,SPECIES_TANGELA,SPECIES_ARBOK,SPECIES_ARBOK,SPECIES_YANMA,SPECIES_TANGELA,10,30,20,SPECIES_WOOPER,30,20,SPECIES_WOOPER,40,20,SPECIES_QUAGSIRE,40,20,SPECIES_QUAGSIRE,40,20,SPECIES_QUAGSIRE,25,6,3,SPECIES_MAGIKARP,7,4,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_BARBOACH,25,10,SPECIES_MAGIKARP,25,10,SPECIES_BARBOACH,25,10,SPECIES_BARBOACH,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_CARVANHA,50,20,SPECIES_WHISCASH,55,40,SPECIES_CARVANHA,55,40,SPECIES_CARVANHA
